Outs,1B,2B,3B,RunEnv_,wOBA,RE,count,State,,,,,
1,0,0,0,4.25,0.34,0.2735,9750,3,,,,,
1,0,0,0,4.25,0.3,0.2172,6720,3,,,,,
1,0,0,0,5,0.27,0,1,3,,,,,
1,0,0,0,4,0.38,0.343,1173,3,,,,,
1,0,0,0,4.5,0.25,2.5,2,3,,,,,
1,0,0,0,3.75,0.4,0.2222,36,3,,,,,
1,0,0,0,5,0.28,0.0357,28,3,,,,,
1,0,0,0,4.5,0.39,0.3012,602,3,,,,,
1,0,0,0,4,0.3,0.2158,6459,3,,,,,
1,0,0,0,5,0.32,0.2933,718,3,,,,,
1,0,0,0,4.75,0.3,0.2598,1284,3,,,,,
1,0,0,0,4.5,0.32,0.2644,10082,3,,,,,
1,0,0,0,3.75,0.39,0.375,24,3,,,,,
1,0,0,0,4.25,0.38,0.3309,1349,3,,,,,
1,0,0,0,4,0.28,0.1505,1863,3,,,,,
1,0,0,0,4,0.4,0.3413,127,3,,,,,
1,0,0,0,3.75,0.25,0,4,3,,,,,
1,0,0,0,4.25,0.25,0,7,3,,,,,
1,0,0,0,4.25,0.42,0,10,3,,,,,
1,0,0,0,4.5,0.35,0.2734,6077,3,,,,,
1,0,0,0,4,0.27,0.1378,996,3,,,,,
1,0,0,0,4,0.37,0.2866,1951,3,,,,,
1,0,0,0,4.75,0.37,0.3066,810,3,,,,,
1,0,0,0,4.75,0.33,0.2845,3043,3,,,,,
1,0,0,0,4.75,0.31,0.2584,2055,3,,,,,
1,0,0,0,5,0.36,0.2351,406,3,,,,,
1,0,0,0,3.75,0.32,0.2136,797,3,,,,,
1,0,0,0,4.75,0.26,0.4,15,3,,,,,
1,0,0,0,4.75,0.41,0.0968,31,3,,,,,
1,0,0,0,4.5,0.28,0.2004,1084,3,,,,,
1,0,0,0,4.25,0.33,0.2486,12496,3,,,,,
1,0,0,0,4,0.31,0.2198,9027,3,,,,,
1,0,0,0,4.75,0.28,0.2099,243,3,,,,,
1,0,0,0,4,0.35,0.2642,5117,3,,,,,
1,0,0,0,4,0.26,0.1809,188,3,,,,,
1,0,0,0,4.5,0.3,0.2343,5074,3,,,,,
1,0,0,0,4.75,0.38,0.3321,527,3,,,,,
1,0,0,0,3.75,0.38,0.2222,10,3,,,,,
2,0,1,0,3.75,0.26,0,7,4,,,,,
2,0,1,0,4,0.37,0.3794,509,4,,,,,
2,0,1,0,4.25,0.28,0.1815,325,4,,,,,
2,0,1,0,3.75,0.25,0,1,4,,,,,
2,0,1,0,4.75,0.3,0.3107,280,4,,,,,
2,0,1,0,4.75,0.34,0.3831,569,4,,,,,
2,0,1,0,4.5,0.38,0.3042,310,4,,,,,
2,0,1,0,5,0.3,0.3385,65,4,,,,,
2,0,1,0,5,0.38,0.5122,41,4,,,,,
2,0,1,0,5,0.33,0.2577,164,4,,,,,
2,0,1,0,4.75,0.41,0.2,5,4,,,,,
2,0,1,0,4.25,0.4,0.6047,86,4,,,,,
2,0,1,0,3.75,0.32,0.3459,186,4,,,,,
2,0,1,0,4.5,0.28,0.2322,211,4,,,,,
2,0,1,0,4.75,0.28,0.1163,43,4,,,,,
2,0,1,0,4.25,0.33,0.3317,2725,4,,,,,
